Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG2,NO,05/01/2020 06:00,0.60000,ug m-3,R
BG2,NO,05/01/2020 07:00,0.40000,ug m-3,R
BG2,NO,05/01/2020 08:00,0.30000,ug m-3,R
BG2,NO,05/01/2020 09:00,0.40000,ug m-3,R
BG2,NO,05/01/2020 10:00,0.60000,ug m-3,R
BG2,NO,05/01/2020 11:00,0.70000,ug m-3,R
BG2,NO,05/01/2020 12:00,0.80000,ug m-3,R
BG2,NO,05/01/2020 13:00,0.90000,ug m-3,R
BG2,NO,05/01/2020 14:00,1.00000,ug m-3,R
BG2,NO,05/01/2020 15:00,1.10000,ug m-3,R
BG2,NO,05/01/2020 16:00,1.00000,ug m-3,R
BG2,NO,05/01/2020 17:00,0.90000,ug m-3,R
BG2,NO,05/01/2020 18:00,0.80000,ug m-3,R
BG2,NO,05/01/2020 19:00,0.60000,ug m-3,R
BG2,NO,05/01/2020 20:00,0.60000,ug m-3,R
BG2,NO,05/01/2020 21:00,0.50000,ug m-3,R
BG2,NO,05/01/2020 22:00,0.40000,ug m-3,R
BG2,NO,05/01/2020 23:00,0.30000,ug m-3,R
BG2,NO,06/01/2020 00:00,0.30000,ug m-3,R
BG2,NO,06/01/2020 01:00,0.30000,ug m-3,R
BG2,NO,06/01/2020 02:00,0.60000,ug m-3,R
BG2,NO,06/01/2020 03:00,0.60000,ug m-3,R
BG2,NO,06/01/2020 04:00,0.50000,ug m-3,R
BG2,NO,06/01/2020 05:00,0.50000,ug m-3,R
BG2,NO,06/01/2020 06:00,0.90000,ug m-3,R
BG2,NO,06/01/2020 07:00,1.20000,ug m-3,R
BG2,NO,06/01/2020 08:00,1.40000,ug m-3,R
BG2,NO,06/01/2020 09:00,1.50000,ug m-3,R
BG2,NO,06/01/2020 10:00,1.30000,ug m-3,R
BG2,NO,06/01/2020 11:00,1.40000,ug m-3,R
BG2,NO,06/01/2020 12:00,1.70000,ug m-3,R
BG2,NO,06/01/2020 13:00,2.10000,ug m-3,R
BG2,NO,06/01/2020 14:00,1.80000,ug m-3,R
BG2,NO,06/01/2020 15:00,1.80000,ug m-3,R
BG2,NO,06/01/2020 16:00,1.90000,ug m-3,R
BG2,NO,06/01/2020 17:00,2.20000,ug m-3,R
BG2,NO,06/01/2020 18:00,2.40000,ug m-3,R
BG2,NO,06/01/2020 19:00,2.40000,ug m-3,R
BG2,NO,06/01/2020 20:00,2.20000,ug m-3,R
BG2,NO,06/01/2020 21:00,1.90000,ug m-3,R
BG2,NO,06/01/2020 22:00,2.20000,ug m-3,R
BG2,NO,06/01/2020 23:00,2.20000,ug m-3,R
