Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG2,NO,07/01/2020 00:00,1.90000,ug m-3,R
BG2,NO,07/01/2020 01:00,1.80000,ug m-3,R
BG2,NO,07/01/2020 02:00,1.70000,ug m-3,R
BG2,NO,07/01/2020 03:00,1.90000,ug m-3,R
BG2,NO,07/01/2020 04:00,2.10000,ug m-3,R
BG2,NO,07/01/2020 05:00,2.40000,ug m-3,R
BG2,NO,07/01/2020 06:00,2.60000,ug m-3,R
BG2,NO,07/01/2020 07:00,2.80000,ug m-3,R
BG2,NO,07/01/2020 08:00,3.90000,ug m-3,R
BG2,NO,07/01/2020 09:00,4.20000,ug m-3,R
BG2,NO,07/01/2020 10:00,4.80000,ug m-3,R
BG2,NO,07/01/2020 11:00,4.70000,ug m-3,R
BG2,NO,07/01/2020 12:00,5.10000,ug m-3,R
BG2,NO,07/01/2020 13:00,5.00000,ug m-3,R
BG2,NO,07/01/2020 14:00,4.70000,ug m-3,R
BG2,NO,07/01/2020 15:00,4.90000,ug m-3,R
BG2,NO,07/01/2020 16:00,3.80000,ug m-3,R
BG2,NO,07/01/2020 17:00,3.30000,ug m-3,R
BG2,NO,07/01/2020 18:00,3.20000,ug m-3,R
BG2,NO,07/01/2020 19:00,3.20000,ug m-3,R
BG2,NO,07/01/2020 20:00,2.80000,ug m-3,R
BG2,NO,07/01/2020 21:00,2.40000,ug m-3,R
BG2,NO,07/01/2020 22:00,2.20000,ug m-3,R
BG2,NO,07/01/2020 23:00,1.50000,ug m-3,R
BG2,NO,08/01/2020 00:00,1.50000,ug m-3,R
BG2,NO,08/01/2020 01:00,1.40000,ug m-3,R
BG2,NO,08/01/2020 02:00,0.90000,ug m-3,R
BG2,NO,08/01/2020 03:00,0.50000,ug m-3,R
BG2,NO,08/01/2020 04:00,0.50000,ug m-3,R
BG2,NO,08/01/2020 05:00,0.80000,ug m-3,R
BG2,NO,08/01/2020 06:00,1.10000,ug m-3,R
BG2,NO,08/01/2020 07:00,1.30000,ug m-3,R
BG2,NO,08/01/2020 08:00,1.50000,ug m-3,R
BG2,NO,08/01/2020 09:00,1.80000,ug m-3,R
BG2,NO,08/01/2020 10:00,2.60000,ug m-3,R
BG2,NO,08/01/2020 11:00,4.00000,ug m-3,R
BG2,NO,08/01/2020 12:00,4.70000,ug m-3,R
BG2,NO,08/01/2020 13:00,5.10000,ug m-3,R
BG2,NO,08/01/2020 14:00,5.30000,ug m-3,R
BG2,NO,08/01/2020 15:00,6.20000,ug m-3,R
BG2,NO,08/01/2020 16:00,8.20000,ug m-3,R
BG2,NO,08/01/2020 17:00,10.20000,ug m-3,R
BG2,NO,08/01/2020 18:00,11.50000,ug m-3,R
BG2,NO,08/01/2020 19:00,11.50000,ug m-3,R
BG2,NO,08/01/2020 20:00,13.00000,ug m-3,R
BG2,NO,08/01/2020 21:00,13.70000,ug m-3,R
BG2,NO,08/01/2020 22:00,14.00000,ug m-3,R
BG2,NO,08/01/2020 23:00,12.90000,ug m-3,R
BG2,NO,09/01/2020 00:00,10.80000,ug m-3,R
BG2,NO,09/01/2020 01:00,8.40000,ug m-3,R
BG2,NO,09/01/2020 02:00,6.40000,ug m-3,R
BG2,NO,09/01/2020 03:00,5.30000,ug m-3,R
BG2,NO,09/01/2020 04:00,3.00000,ug m-3,R
BG2,NO,09/01/2020 05:00,1.70000,ug m-3,R
BG2,NO,09/01/2020 06:00,1.20000,ug m-3,R
BG2,NO,09/01/2020 07:00,1.30000,ug m-3,R
BG2,NO,09/01/2020 08:00,1.70000,ug m-3,R
BG2,NO,09/01/2020 09:00,2.00000,ug m-3,R
BG2,NO,09/01/2020 10:00,2.40000,ug m-3,R
BG2,NO,09/01/2020 11:00,2.60000,ug m-3,R
BG2,NO,09/01/2020 12:00,2.90000,ug m-3,R
BG2,NO,09/01/2020 13:00,3.30000,ug m-3,R
BG2,NO,09/01/2020 14:00,3.20000,ug m-3,R
BG2,NO,09/01/2020 15:00,3.10000,ug m-3,R
BG2,NO,09/01/2020 16:00,2.90000,ug m-3,R
BG2,NO,09/01/2020 17:00,2.90000,ug m-3,R
BG2,NO,09/01/2020 18:00,2.70000,ug m-3,R
BG2,NO,09/01/2020 19:00,2.30000,ug m-3,R
BG2,NO,09/01/2020 20:00,1.90000,ug m-3,R
BG2,NO,09/01/2020 21:00,1.50000,ug m-3,R
BG2,NO,09/01/2020 22:00,1.40000,ug m-3,R
BG2,NO,09/01/2020 23:00,1.40000,ug m-3,R
BG2,NO,10/01/2020 00:00,1.30000,ug m-3,R
BG2,NO,10/01/2020 01:00,0.90000,ug m-3,R
BG2,NO,10/01/2020 02:00,0.70000,ug m-3,R
BG2,NO,10/01/2020 03:00,0.60000,ug m-3,R
BG2,NO,10/01/2020 04:00,0.60000,ug m-3,R
BG2,NO,10/01/2020 05:00,0.70000,ug m-3,R
BG2,NO,10/01/2020 06:00,0.90000,ug m-3,R
BG2,NO,10/01/2020 07:00,1.10000,ug m-3,R
BG2,NO,10/01/2020 08:00,1.70000,ug m-3,R
BG2,NO,10/01/2020 09:00,2.30000,ug m-3,R
BG2,NO,10/01/2020 10:00,2.60000,ug m-3,R
BG2,NO,10/01/2020 11:00,3.00000,ug m-3,R
BG2,NO,10/01/2020 12:00,3.40000,ug m-3,R
BG2,NO,10/01/2020 13:00,3.50000,ug m-3,R
BG2,NO,10/01/2020 14:00,3.60000,ug m-3,R
BG2,NO,10/01/2020 15:00,3.80000,ug m-3,R
BG2,NO,10/01/2020 16:00,3.80000,ug m-3,R
BG2,NO,10/01/2020 17:00,4.00000,ug m-3,R
BG2,NO,10/01/2020 18:00,4.90000,ug m-3,R
BG2,NO,10/01/2020 19:00,7.10000,ug m-3,R
BG2,NO,10/01/2020 20:00,8.10000,ug m-3,R
BG2,NO,10/01/2020 21:00,8.20000,ug m-3,R
BG2,NO,10/01/2020 22:00,8.00000,ug m-3,R
BG2,NO,10/01/2020 23:00,7.50000,ug m-3,R
BG2,NO,11/01/2020 00:00,6.90000,ug m-3,R
BG2,NO,11/01/2020 01:00,6.10000,ug m-3,R
BG2,NO,11/01/2020 02:00,4.90000,ug m-3,R
BG2,NO,11/01/2020 03:00,2.40000,ug m-3,R
BG2,NO,11/01/2020 04:00,1.00000,ug m-3,R
BG2,NO,11/01/2020 05:00,1.20000,ug m-3,R
BG2,NO,11/01/2020 06:00,1.00000,ug m-3,R
BG2,NO,11/01/2020 07:00,0.90000,ug m-3,R
BG2,NO,11/01/2020 08:00,1.00000,ug m-3,R
BG2,NO,11/01/2020 09:00,1.10000,ug m-3,R
BG2,NO,11/01/2020 10:00,1.10000,ug m-3,R
BG2,NO,11/01/2020 11:00,1.30000,ug m-3,R
BG2,NO,11/01/2020 12:00,1.50000,ug m-3,R
BG2,NO,11/01/2020 13:00,1.20000,ug m-3,R
BG2,NO,11/01/2020 14:00,1.20000,ug m-3,R
BG2,NO,11/01/2020 15:00,1.30000,ug m-3,R
BG2,NO,11/01/2020 16:00,1.20000,ug m-3,R
BG2,NO,11/01/2020 17:00,1.10000,ug m-3,R
BG2,NO,11/01/2020 18:00,1.00000,ug m-3,R
